condition,skill,skill_repo,skill_stars,skill_body_chars,model,model_id,case,case_kind,trial,pass_substance,pass_strict,protocol_ok,knew_command,bucket,detail,latency_ms,cost_usd,input_tokens,output_tokens,steps,skills_in_scope
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-2,abstain,2,true,false,false,false,,abstained and answered correctly,555,0.000073,2641,8,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-2,abstain,3,true,false,false,false,,abstained and answered correctly,648,0.000073,2641,8,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-2,abstain,1,true,false,false,false,,abstained and answered correctly,684,0.000073,2641,8,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-1,invoke,3,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,1786,0.000114,2636,213,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-1,invoke,1,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,1805,0.000114,2636,213,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-1,invoke,2,false,false,false,true,ARGS,named the right command in prose but emitted no callable form,2117,0.000128,2636,282,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-3,use_result,1,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",2206,0.000106,2641,171,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-3,use_result,2,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",3163,0.000106,2641,171,1,1
A,anthropic__pdf,anthropics/skills,172282,7512,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,pdf-3,use_result,3,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",4353,0.000106,2641,171,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-1,invoke,1,false,false,false,false,SELECTION,never invoked a tool,6329,0.000166,2330,512,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-1,invoke,2,false,false,false,false,SELECTION,never invoked a tool,8863,0.000166,2330,512,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-1,invoke,3,false,false,false,false,SELECTION,never invoked a tool,11355,0.000166,2330,512,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-2,abstain,1,false,false,false,false,REASONING,abstained but answered wrongly: No,11024,0.000063,2331,2,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-2,abstain,2,false,false,false,false,REASONING,abstained but answered wrongly: No,10279,0.000063,2331,2,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-2,abstain,3,false,false,false,false,REASONING,abstained but answered wrongly: No,9364,0.000063,2331,2,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-3,use_result,1,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",6713,0.000065,2331,11,1,1
A,anthropic__docx,anthropics/skills,172282,5944,llama-3.2-1b,meta-llama/llama-3.2-1b-instruct,docx-3,use_result,2,false,false,false,false,SELECTION,"never invoked a tool, so never saw the data",4617,0.000065,2331,11,1,1
